"x","y","trans","vol","min","max","bath","date","site"
-23.5,149.5,"1",0,NA,NA,27.43862,"14-08-2019","JDN"
-22.5,149.5,"1",0,NA,NA,27.43862,"14-08-2019","JDN"
-21.5,149.5,"1",0,NA,NA,27.43862,"14-08-2019","JDN"
-20.5,149.5,"1",0,NA,NA,27.43862,"14-08-2019","JDN"
-19.5,149.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-18.5,149.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-17.5,149.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-16.5,149.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-15.5,149.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-14.5,149.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-13.5,149.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-12.5,149.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-11.5,149.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-10.5,149.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-9.5,149.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-8.5,149.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-7.5,149.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-6.5,149.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-5.5,149.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-4.5,149.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
-3.5,149.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
-2.5,149.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
-1.5,149.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
-0.5,149.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
0.5,149.5,"1",0,NA,NA,27.411685,"14-08-2019","JDN"
1.5,149.5,"1",0,NA,NA,27.411685,"14-08-2019","JDN"
2.5,149.5,"1",0,NA,NA,27.411685,"14-08-2019","JDN"
3.5,149.5,"1",0,NA,NA,27.411685,"14-08-2019","JDN"
4.5,149.5,"1",0,NA,NA,27.411685,"14-08-2019","JDN"
5.5,149.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
6.5,149.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
7.5,149.5,"1",0,NA,NA,27.42114,"14-08-2019","JDN"
